ID: 896; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 975; Comp. Time(ms): 16797;TAT (ms): 15822
ID: 89; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 361; Comp. Time(ms): 16811;TAT (ms): 16450
ID: 853; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 368; Comp. Time(ms): 16914;TAT (ms): 16546
ID: 65; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1146; Comp. Time(ms): 17354;TAT (ms): 16208
ID: 110; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 415; Comp. Time(ms): 17411;TAT (ms): 16996
ID: 870; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1313; Comp. Time(ms): 17893;TAT (ms): 16580
ID: 253; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1397; Comp. Time(ms): 18103;TAT (ms): 16706
ID: 561; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 536; Comp. Time(ms): 18868;TAT (ms): 18332
ID: 430; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 132; Comp. Time(ms): 18936;TAT (ms): 18804
ID: 275; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1835; Comp. Time(ms): 19286;TAT (ms): 17451
ID: 414; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1890; Comp. Time(ms): 19483;TAT (ms): 17593
ID: 85; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 145; Comp. Time(ms): 19815;TAT (ms): 19670
ID: 501; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 655; Comp. Time(ms): 19824;TAT (ms): 19169
ID: 418; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 709; Comp. Time(ms): 19935;TAT (ms): 19226
ID: 881; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 357; Comp. Time(ms): 20586;TAT (ms): 20229
ID: 864; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1044; Comp. Time(ms): 20754;TAT (ms): 19710
ID: 113; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 184; Comp. Time(ms): 21020;TAT (ms): 20836
ID: 901; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1135; Comp. Time(ms): 21115;TAT (ms): 19980
ID: 872; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1177; Comp. Time(ms): 21189;TAT (ms): 20012
ID: 634; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1212; Comp. Time(ms): 21293;TAT (ms): 20081
ID: 19; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1286; Comp. Time(ms): 21534;TAT (ms): 20248
ID: 344; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1325; Comp. Time(ms): 21646;TAT (ms): 20321
ID: 137; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1500; Comp. Time(ms): 22111;TAT (ms): 20611
ID: 353; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1818; Comp. Time(ms): 22842;TAT (ms): 21024
ID: 805; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1821; Comp. Time(ms): 22873;TAT (ms): 21052
ID: 237; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 609; Comp. Time(ms): 23345;TAT (ms): 22736
ID: 987; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 726; Comp. Time(ms): 23639;TAT (ms): 22913
ID: 597; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 294; Comp. Time(ms): 23682;TAT (ms): 23388
ID: 654; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 744; Comp. Time(ms): 23690;TAT (ms): 22946
ID: 426; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 799; Comp. Time(ms): 23812;TAT (ms): 23013
ID: 951; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 900; Comp. Time(ms): 23983;TAT (ms): 23083
ID: 601; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 957; Comp. Time(ms): 24133;TAT (ms): 23176
ID: 518; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1045; Comp. Time(ms): 24262;TAT (ms): 23217
ID: 649; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 180; Comp. Time(ms): 24391;TAT (ms): 24211
ID: 969; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1107; Comp. Time(ms): 24491;TAT (ms): 23384
ID: 996; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1200; Comp. Time(ms): 24730;TAT (ms): 23530
ID: 780; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1240; Comp. Time(ms): 24826;TAT (ms): 23586
ID: 183; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1259; Comp. Time(ms): 24897;TAT (ms): 23638
ID: 673; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1373; Comp. Time(ms): 25177;TAT (ms): 23804
ID: 125; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1376; Comp. Time(ms): 25181;TAT (ms): 23805
ID: 128; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 471; Comp. Time(ms): 25335;TAT (ms): 24864
ID: 647; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1467; Comp. Time(ms): 25390;TAT (ms): 23923
ID: 860; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 488; Comp. Time(ms): 25611;TAT (ms): 25123
ID: 919; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 498; Comp. Time(ms): 25726;TAT (ms): 25228
ID: 680; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1718; Comp. Time(ms): 25898;TAT (ms): 24180
ID: 804; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1793; Comp. Time(ms): 26093;TAT (ms): 24300
ID: 141; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 257; Comp. Time(ms): 26109;TAT (ms): 25852
ID: 553; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1877; Comp. Time(ms): 26374;TAT (ms): 24497
ID: 487; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1915; Comp. Time(ms): 26478;TAT (ms): 24563
ID: 677; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1985; Comp. Time(ms): 26677;TAT (ms): 24692
ID: 974; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 687; Comp. Time(ms): 26774;TAT (ms): 26087
